브랜드,제품,제품명,용량,가격,지성,건성,민감성,특징,효능,특징2,,,지성,건성,민감성
닥터그루트,샴푸,닥터그루트 제이몬스터즈 샴푸 로지머스크 400g,400,21980,"살리실산, 멘톨","글리세린, 부틸렌글라이콜, 콩추출물, 캐모마일꽃수, 판테놀",캐모마일꽃수,"설페이트프리,실리콘프리,파라벤프리",탈모완화,"5번,탈모 억제 효과,9번,피지억제,2번",지성.쿨링효과.탈모.민감성,,"피지 조절,수렴 및 진정,쿨링 효과","보습력 증가,강력보습,탈모 억제 효과,습윤,컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가",예민현상 진정
닥터그루트,샴푸,닥터그루트 제이몬스터즈 샴푸 시트러스 400g,400,20250,"살리실산, 멘톨","글리세린, 부틸렌글라이콜, 콩추출물, 캐모마일꽃수, 판테놀",캐모마일꽃수,"설페이트프리,실리콘프리,파라벤프리",탈모완화,"5번,탈모 억제 효과,9번,피지억제,2번",지성.쿨링효과.탈모.민감성,,"피지 조절,수렴 및 진정,쿨링 효과","보습력 증가,강력보습,탈모 억제 효과,습윤,컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가",예민현상 진정
닥터그루트,샴푸,닥터그루트 애딕트 피오니 샴푸 680ml,680,33080,녹차추출물,"글리세린, 소디움PCA",,,탈모완화,5번,탈모,,"수렴 및 진정,비듬 제거","보습력 증가,강력보습",
닥터그루트,샴푸,닥터그루트 애딕트 페어프리지아 샴푸 680ml,680,32310,"살리실산, 녹차추출물, 멘톨","글리세린, 부틸렌글라이콜, 소디움PCA, 콩추출물, 캐모마일꽃수, 판테놀",캐모마일꽃수,,탈모완화,"5번,탈모 억제 효과,9번,피지억제,2번",지성.쿨링효과.탈모.민감성,,"피지 조절,수렴 및 진정,비듬 제거,쿨링 효과","보습력 증가,강력보습,탈모 억제 효과,습윤,컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가",예민현상 진정
려,샴푸,려 자양윤모 탈모증상케어 샴푸 민감성 두피용 400ml,400,6180,살리실산,판테놀,,,"탈모완화,두피진정","1-2번,피지억제",탈모탈모.민감성,,피지 조절,"컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가",
려,샴푸,려 자양윤모 탈모증상케어 샴푸 힘없는 모발용 400ml,400,4150,"살리실산, 멘톨","부틸렌글라이콜, 판테놀",,,"탈모완화,볼륨효과","1-2번,9번,피지억제",지성.쿨링효과.탈모탈모,,"피지 조절,수렴 및 진정,쿨링 효과","강력보습,컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가",
려,샴푸,려 자양윤모 탈모증상케어 샴푸 지성 두피용 400ml,400,5490,"살리실산, 녹차추출물",판테놀,,한방성분,탈모완화,"1-2번,피지억제,4번",지성.탈모탈모,,"피지 조절,수렴 및 진정,비듬 제거","컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가",
려,샴푸,려 자양윤모 탈모증상케어 샴푸 비듬 두피용 400ml,400,6580,"녹차추출물, 멘톨",부틸렌글라이콜,,,탈모완화,"4번,9번",지성.쿨링효과.탈모탈모,,"수렴 및 진정,비듬 제거,쿨링 효과",강력보습,
려,샴푸,려 자양윤모 9EX 탈모증상케어 샴푸 중건성 두피용 400ml,400,5610,멘톨,"글리세린, 부틸렌글라이콜, 비타민E",,,탈모완화,"5번,9번,4번,2번,부드러운 모발",중건성.탈모탈모,,"수렴 및 진정,쿨링 효과","보습력 증가,강력보습,부드러운 모발",
려,샴푸,려 자양윤모 탈모증상케어 중건성 두피용 400ml,400,5890,"살리실산, 녹차추출물",판테놀,,,"탈모완화,두피진정","1-2번,피지억제,4번",중건성.탈모탈모,,"피지 조절,수렴 및 진정,비듬 제거","컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가",
려,샴푸,려 EM 쐐기풀 탈모증상케어 샴푸 820ml,820,9470,"녹차추출물, 멘톨","부틸렌글라이콜, 판테놀",알로에베라잎추출물,,탈모완화,"1-2번,9번,4번,2번",지성.쿨링효과.탈모.민감성,,"수렴 및 진정,비듬 제거,쿨링 효과","강력보습,컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가",예민현상 진정
려,샴푸,려 초의방 프리미엄 탈모증상완화 샴푸 490ml,490,6320,멘톨,"부틸렌글라이콜, 콩추출물",,한방성분,"탈모완화,두피진정","5번,탈모 억제 효과,9번",쿨링효과.탈모탈모,,"수렴 및 진정,쿨링 효과","강력보습,탈모 억제 효과",
려,샴푸,려 EM 맥주홉 탈모증상케어 샴푸 820ml,820,10490,"녹차추출물, 멘톨","부틸렌글라이콜, 판테놀",알로에베라잎추출물,,탈모완화,"1-2번,5번,9번,4번,2번",지성.쿨링효과.탈모탈모.민감성,,"수렴 및 진정,비듬 제거,쿨링 효과","강력보습,컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가",예민현상 진정
려,샴푸,려 자양윤모 탈모증상케어 제주산들바람 샴푸 585ml,585,13590,,"글리세린, 비타민E",,탈모완화,탈모완화,"5번,9번,부드러운 모발",건성.탈모탈모.약산성,,,"보습력 증가,부드러운 모발",
려,샴푸,려 자양윤모 모발채움 샴푸 힘없는 모발용 400ml,400,23850,"살리실산, 멘톨","글리세린, 부틸렌글라이콜, 콩추출물, 판테놀",,,"탈모완화,영양공급,볼륨효과","1-2번,5번,탈모 억제 효과,9번,피지억제",지성.쿨링효과.탈모,,"피지 조절,수렴 및 진정,쿨링 효과","보습력 증가,강력보습,탈모 억제 효과,컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가",
려,샴푸,려 강화 약쑥 샴푸 800ml,800,8310,멘톨,글리세린,,"약산성(pH6.5),설페이트프리,실리콘프리",탈모완화,5번 9번,쿨링효과.탈모.약산성,,"수렴 및 진정,쿨링 효과",보습력 증가,
려,샴푸,려 자양윤모 탈모증상케어 서울석양 샴푸 585ml,585,13090,,글리세린,,실리콘프리,탈모완화,1-2번,건성.탈모탈모.약산성,,,보습력 증가,
려,샴푸,려 생발효 인삼 샴푸 400ml,400,22020,"살리실산, 멘톨","부틸렌글라이콜, 판테놀",,"한방성분,실리콘프리","탈모완화,영양공급","1-2번,9번,피지억제",지성.쿨링효과.탈모,,"피지 조절,수렴 및 진정,쿨링 효과","강력보습,컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가",
라보에이치,샴푸,라보에이치 프로바이오틱스 두피강화 샴푸 400ml,400,12800,"녹차추출물, 멘톨","글리세린, 비타민E, 캐모마일꽃오일",캐모마일꽃오일,저자극,"탈모완화,두피클렌징","5번,9번,4번,2번,부드러운 모발",지성.쿨링효과.탈모.민감성,,"수렴 및 진정,비듬 제거,쿨링 효과","보습력 증가,부드러운 모발,습윤,예민현상 진정",예민현상 진정
라보에이치,샴푸,라보에이치 탈모증상완화 샴푸 두피쿨링 400ml,400,12970,"녹차수, 멘톨","비타민E, 콩추출물, 캐모마일꽃오일",캐모마일꽃오일,,탈모완화,"5번,9번,4번,2번,부드러운 모발",지성.쿨링효과.탈모탈모.민감성,,"수렴 및 진정,비듬 제거,쿨링 효과","부드러운 모발,탈모 억제 효과,습윤,예민현상 진정",예민현상 진정
라보에이치,샴푸,라보에이치 탈모증상완화 샴푸 민감더마 400ml,400,13990,,"글리세린, 캐모마일꽃오일, 판테놀",캐모마일꽃오일,저자극,"탈모완화,두피클렌징","1-2번,5번,2번",건성.민감성.탈모탈모,,,"보습력 증가,습윤,예민현상 진정,컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가",예민현상 진정
라보에이치,샴푸,라보에이치 더프리미엄9 337ml,337,14630,"멘톨, 알란토인","글리세린, 부틸렌글라이콜, 아보카도오일, 콩추출물, 캐모마일꽃오일","알란토인, 캐모마일꽃오일, 알로에베라잎추출물",,탈모완화,"5번,9번,수렴 및 진정",쿨링효과.탈모.민감성,,"수렴 및 진정,쿨링 효과","보습력 증가,강력보습,수분 증발 방지,탈모 억제 효과,습윤,예민현상 진정","수렴 및 진정,예민현상 진정"
라보에이치,샴푸,라보에이치 탈모증상완화 샴푸 두피강화 400ml,400,14290,멘톨,"글리세린, 비타민E, 캐모마일꽃오일",캐모마일꽃오일,,탈모완화,"5번,9번,2번,부드러운 모발",쿨링효과.탈모탈모.민감성,,"수렴 및 진정,쿨링 효과","보습력 증가,부드러운 모발,습윤,예민현상 진정",예민현상 진정
닥터포헤어,샴푸,닥터포헤어 폴리젠 샴푸 500ml,500,13740,"살리실산, 멘톨","글리세린, 비타민E, 판테놀",,한방성분,탈모완화,"1-2번,5번,9번,부드러운 모발",지성.쿨링효과.탈모,,"피지 조절,수렴 및 진정,쿨링 효과","보습력 증가,부드러운 모발,컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가",
닥터포헤어,샴푸,닥터포헤어 폴리젠 바이오-3 샴푸 500ml,500,10550,"살리실산, 녹차추출물, 캠퍼, 멘톨","글리세린, 프로필렌글라이콜, 부틸렌글라이콜, 판테놀",,저자극,"탈모완화,두피클렌징,쿨링효과,모발윤기,볼륨효과","1-2번,5번,9번,4번,수렴 및 진정",지성.쿨링효과.탈모,,"피지 조절,수렴 및 진정,비듬 제거,쿨링 효과","보습력 증가,강력보습,컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가",
닥터포헤어,샴푸,닥터포헤어 폴리젠 플러스 샴푸 500ml,500,13800,"살리실산, 멘톨","글리세린, 판테놀",,,탈모완화,"1-2번,5번,9번",지성.쿨링효과.탈모,,"피지 조절,수렴 및 진정,쿨링 효과","보습력 증가,컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가",
닥터포헤어,샴푸,닥터포헤어 폴리젠 탈모 완화 샴푸 500ml,500,12620,"살리실산, 멘톨","글리세린, 비타민E, 판테놀",,,탈모완화,"1-2번,5번,9번,부드러운 모발",지성.쿨링효과.탈모탈모,,"피지 조절,수렴 및 진정,쿨링 효과","보습력 증가,부드러운 모발,컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가",
닥터포헤어,샴푸,닥터포헤어 폴리젠 실크 샴푸 500ml,500,19800,"살리실산, 멘톨","글리세린, 부틸렌글라이콜, 판테놀",,"약산성(pH6.5),설페이트프리,실리콘프리,파라벤프리","탈모완화,수분공급,두피진정,두피클렌징,모발윤기,볼륨효과","1-2번,5번,9번",지성.쿨링효과.탈모.약산성,,"피지 조절,수렴 및 진정,쿨링 효과","보습력 증가,강력보습,컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가",
닥터포헤어,샴푸,닥터포헤어 아줄렌 메드 샴푸 500ml,500,29000,"살리실산, 녹차추출물, 멘톨","글리세린, 부틸렌글라이콜, 판테놀","알로에베라잎즙, 알로에베라잎추출물",,"탈모완화,두피진정","1-2번,5번,9번,4번,2번",지성.쿨링효과.탈모.민감성,,"피지 조절,수렴 및 진정,비듬 제거,쿨링 효과","보습력 증가,강력보습,컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가",예민현상 진정
댕기머리,샴푸,댕기머리 명품 스페셜 샴푸 500ml,500,33240,멘톨,"부틸렌글라이콜, 상백피추출물",,한방성분,탈모완화,"5번,9번,발모",쿨링효과.탈모,,"수렴 및 진정,쿨링 효과","강력보습,발모",
댕기머리,샴푸,댕기머리 뉴골드 샴푸 500ml,500,15520,멘톨,"글리세린, 부틸렌글라이콜, 상백피추출물, 판테놀",,한방성분,탈모완화,"1-2번,5번,9번",쿨링효과.탈모,,"수렴 및 진정,쿨링 효과","보습력 증가,강력보습,발모,컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가",
댕기머리,샴푸,댕기머리 뉴골드 프리미엄 샴푸 500ml,500,33840,"멘톨, 알란토인","상백피추출물, 판테놀",알란토인,,,"1-2번,9번,2번",쿨링효과.탈모.민감성,,"수렴 및 진정,쿨링 효과","발모,컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가",수렴 및 진정
댕기머리,샴푸,댕기머리 들애수 탈모샴푸 500ml,500,15790,"살리실산, 멘톨","글리세린, 판테놀",,한방성분,"탈모완화,모발윤기","1-2번,5번,9번,수렴 및 진정",지성.쿨링효과.탈모탈모,,"피지 조절,수렴 및 진정,쿨링 효과","보습력 증가,컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가",
댕기머리,샴푸,댕기머리 진윤 샴푸 400ml,400,7130,"살리실산, 멘톨","글리세린, 상백피추출물, 판테놀",,한방성분,,"1-2번,5번,9번",지성.쿨링효과,,"피지 조절,수렴 및 진정,쿨링 효과","보습력 증가,발모,컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가",
댕기머리,샴푸,댕기머리 들애수 샴푸액 펌프형 400ml,400,17430,살리실산,판테놀,,한방성분,탈모완화,,지성.탈모,,피지 조절,"컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가",
댕기머리,샴푸,댕기머리 두피 관리용 한방 샴푸 500ml,500,5800,감초,,,한방성분,탈모완화,,탈모,,살균 및 향염,,
댕기머리,샴푸,댕기머리 옐로우 블라썸 샴푸 400ml,400,15300,"살리실산, 멘톨, 칼렌듈라추출물","부틸렌글라이콜, 판테놀",,실리콘프리,탈모완화,"1-2번,5번",지성.쿨링효과.탈모,,"피지 조절,수렴 및 진정,쿨링 효과,살균 및 향염","강력보습,컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가",
댕기머리,샴푸,댕기머리 오리지널 진기 샴푸 500ml,500,15810,"살리실산, 멘톨","프로필렌글라이콜, 부틸렌글라이콜, 판테놀",,,"탈모완화,수분공급,두피클렌징,모발윤기","1-2번,5번",지성.쿨링효과.탈모,,"피지 조절,수렴 및 진정,쿨링 효과","강력보습,컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가",
댕기머리,샴푸,댕기머리 시크릿핏 데미지케어 샴푸 480ml,480,5880,녹차,,,"한방성분,모발윤기",,4번,지성,,"수렴 및 진정,비듬 제거",,
댕기머리,샴푸,댕기머리 포르테 프레스티지 샴푸,,21960,"살리실산, 멘톨","글리세린, 상백피추출물, 판테놀",,한방성분,"탈몬완화,모발윤기","1-2번,5번,9번,이대한",지성.쿨링효과.탈모,,"피지 조절,수렴 및 진정,쿨링 효과","보습력 증가,발모,컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가",
알페신,샴푸,알페신 카페인 샴푸 C1 펌프형 1250ml,1250,30060,멘톨,"비타민E, 판테놀",,"실리콘프리,대용량",탈모완화,1-1번 4번 3번 9번,쿨링효과.탈모,,"수렴 및 진정,쿨링 효과","부드러운 모발,컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가",
알페신,샴푸,알페신 민감성용 샴푸 S1 250ml,250,5520,알란토인,판테놀,알란토인,,탈모완화,2번 5번 3번,건성.탈모.민감성,,수렴 및 진정,"컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가",수렴 및 진정
알페신,샴푸,알페신 액티브 샴푸 A2 250ml,250,7100,"멘톨, 알란토인","비타민C, 비타민E, 판테놀",알란토인,,탈모완화,4번 5번 3번 9번,쿨링효과.탈모.민감성,,"수렴 및 진정,쿨링 효과","피부 재생,탄력,노화 방지,부드러운 모발,컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가",수렴 및 진정
알페신,샴푸,알페신 액티브 샴푸 A3 250ml,250,6390,"멘톨, 알란토인","비타민C, 비타민E, 판테놀",알란토인,,탈모완화,4번 5번 3번 9번,쿨링효과.탈모.민감성,,"수렴 및 진정,쿨링 효과","피부 재생,탄력,노화 방지,부드러운 모발,컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가",수렴 및 진정
알페신,샴푸,알페신 플란투어 39 피토 카페인 샴푸 250ml,250,11130,녹차추출물,판테놀,,,탈모완화,4번 3번,지성.탈모,,"수렴 및 진정,비듬 제거","컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가",
